Title,genres,rating,topcast,details
C.S. Lewis: Beyond Narnia (2005) ,Documentary Biography ,7.4,"Norman Stone, Anton Rodgers, Diane Venora"," Country: USA , UK  Language: English  Release Date: 9 December 2005 (USA)             Also Known As: ナルニア国物語 C.S.ルイスの軌跡                 Production Co:  British Broadcasting Corporation (BBC)                    Sound Mix: Stereo  Color: Color  Aspect Ratio: 1.78 : 1     "
Dr Jack et Mr Nicholson (2019) ,Documentary Biography ,6.6,"Emmanuelle Nobécourt, Jeanne Burel, Emmanuelle Nobécourt"," Official Sites: Offcial site (Morgane Groupe) [France]    Country: France , Canada , Switzerland , Brazil , Spain , Italy , Poland , United Arab Emirates  Language: English , French  Release Date: 16 February 2020 (Sweden)             Also Known As: Doktor Jack och Mr. Nicholson                 Filming Locations: Spring Lake, New Jersey, USA           Production Co:  Morgane Production, ARTE, DevTVCine 5                    Runtime: 54 min  Sound Mix: Dolby Digital  Color: Color ,  Black and White (archive footage)     Aspect Ratio: 2:1     "
The Trans List (2016) ,Documentary Biography ,6.5,"Timothy Greenfield-Sanders, Buck Angel, Kylar Broadus", Official Sites: Official Facebook    Country: USA  Language: English  Release Date: 9 December 2016 (USA)             Production Co:  Perfect Day Films                    Runtime: 57 min  Sound Mix: Mono  Color: Color  Aspect Ratio: 16:9 HD     
Audrey Hepburn Remembered (1993) ,Documentary Biography ,8.2,"Gene Feldman, Suzette Winter, Gene Feldman"," Official Sites: Janson Media    Country: USA  Language: English  Release Date: 11 August 1993 (USA)             Also Known As: Audrey Hepburn - Emlékeinkben él                 Production Co:  Wombat Productions                    Runtime: 60 min  Sound Mix: Mono  Color:  Black and White , Color "
Man on Fire (2018) ,Documentary Biography ,6.7,-," Official Sites: Official Facebook Page , Official Twitter ,           Country: USA  Language: English  Release Date: 20 January 2018 (USA)             Filming Locations: Grand Saline, Texas, USA                    Runtime: 54 min  Color: Color "
"Sergio Leone, une Amérique de légende (2018) ",Documentary Biography ,7.1,"Jean-François Giré, Jean-François Giré, Noël Simsolo"," Country: France  Language: French  Release Date: 16 December 2018 (France)             Also Known As: Det var en gång ... Sergio Leone                 Filming Locations: Desierto de Tabernas, Almería, Andalucía, Spain           Production Co:  ARTE, Un film à la patte                    Runtime: 70 min             (long)      Color: Color "
Our Queen at War (2020) ,Documentary Biography History ,6.2,"Christopher Bruce, Ron Batchelor, Winston Churchill", Official Sites: Official ITV Hub site    Country: UK  Language: English  Release Date: 22 April 2020 (UK)             Also Known As: The Queen at War                 Production Co:  BBC Studios                    Runtime: 60 min  Color: Color 
Meryl Streep - Mystères et métamorphoses (2020) ,Documentary Biography ,6.9,"Charles-Antoine de Rouvre, Charles-Antoine de Rouvre, Michael Schulman"," Country: France  Language: French , English  Release Date: 23 August 2020 (France)             Also Known As: Meryl Streep - Die unverstellte Göttin                 Production Co:  ARTE G.E.I.E., ZETA Productions                    Runtime: 53 min  Sound Mix: Dolby Digital  Color: Color  Aspect Ratio: 16:9 HD     "
Le K Benzema (2017) ,Documentary Biography Sport ,7.0,"Florent Bodin, Damien Piscarel, Gareth Bale", Country: France  Language: French  Release Date: 12 November 2017 (France)             Also Known As: El caso Benzema                 Production Co:  Black Dynamite Production                    Runtime: 120 min  Color: Color 
Peter Falk versus Columbo (2019) ,Documentary Biography History ,7.1,"Pascal Cuissot, Gaëlle Royer, Jerry Di Giacomo"," Country: France  Language: English , French , German  Release Date: 31 March 2019 (France)             Also Known As: Peter Falk como Columbo                          Runtime: 50 min  Color: Color  Aspect Ratio: 16:9 HD     "
